hotel_name,price_euros,rating,num_reviews,quality_over_5,quality_type,neighborhood,description
The Oliver Apartamentos Aravaca,1123.0,8.8,909.0,3.0,squares,"Moncloa-Aravaca, Madrid","Superior Studio
Entire studio • 1 bathroom • 1 kitchen • 30m²
2 beds (1 sofa bed, 1 queen)"
Alquiler Temporal Plaza Mayor,770.0,7.6,325.0,3.0,squares,"Madrid City Center, Madrid","Studio (2 Adults)
Entire studio • 1 bathroom • 1 kitchen • 25m²
1 sofa bed
Free cancellation
No prepayment needed – pay at the property
Only 1 left at this price on our site"
Vértice Roomspace,518.0,8.1,12748.0,3.0,stars,"Villaverde, Madrid","Double or Twin Room with Kitchenette
Beds: 1 double or 2 twins
Free cancellation"
Montaber Apartments - La Paz Market,829.0,7.7,320.0,3.0,squares,"Salamanca, Madrid","One-Bedroom Apartment
Entire apartment • 1 bedroom • 1 living room • 1 bathroom • 1 kitchen • 50m²
2 beds (1 sofa bed, 1 queen)
Only 1 left at this price on our site"
Edsan,565.0,9.3,6.0,,,"Puente de Vallecas, Madrid","One-Bedroom Apartment
Entire apartment • 1 bedroom • 1 bathroom • 1 kitchen • 28m²
3 beds (2 twins, 1 sofa bed)
Free cancellation"
Acogedor Loft en Chueca. Cozy Loft in Chueca,1056.0,8.6,8.0,3.0,squares,"Madrid City Center, Madrid","One-Bedroom Apartment
2 beds (1 sofa bed, 1 queen)
Free cancellation
Only 1 left at this price on our site"
Erase un Hotel,875.0,8.4,5775.0,3.0,stars,"Tetuan, Madrid","Double or Twin Room
Beds: 1 double or 2 twins
Free cancellation
No prepayment needed – pay at the property
Only 5 rooms left at this price on our site"
Gran Versalles,987.0,8.6,7120.0,4.0,stars,"Chamberi, Madrid","Double or Twin Room
Beds: 1 double or 2 twins
Free cancellation"
Ideal flat for 4 pax -F Fpo1,836.0,8.4,21.0,3.0,squares,"Arganzuela, Madrid","Studio Apartment
Entire apartment • 1 bedroom • 1 living room • 1 bathroom • 30m²
1 full bed
Free cancellation"
Aparto-Hotel Rosales,1045.0,8.9,4212.0,3.0,stars,"Moncloa-Aravaca, Madrid","Double or Twin Room
Beds: 1 double or 2 twins
Free cancellation
Only 2 rooms left at this price on our site"
El Colmenar Habitaciones,384.0,8.3,465.0,3.0,squares,"Hortaleza, Madrid","Double Room with Private Bathroom
1 full bed
Free cancellation
Only 1 room left at this price on our site"
Loft en Centro de Madrid,685.0,7.1,15.0,3.0,squares,"Madrid City Center, Madrid","One-Bedroom Apartment
1 full bed"
Spacious apartment near to Santiago Bernabeu,957.0,9.7,18.0,4.0,squares,"Chamartín, Madrid","Apartment - Ground Floor
Entire apartment • 1 bedroom • 1 living room • 1 bathroom • 1 kitchen • 60m²
2 beds (1 full, 1 sofa bed)
Free cancellation"
Zenit Abeba,1137.0,8.8,3357.0,4.0,stars,"Salamanca, Madrid","Room Assigned on Arrival
1 twin bed
Free cancellation"
Beautiful duplex in the center,848.0,9.0,1.0,,,"Madrid City Center, Madrid","One-Bedroom Apartment
1 queen bed
Free cancellation"
4Torres Homes - Sofía,798.0,8.5,58.0,3.0,squares,"Fuencarral-El Pardo, Madrid","One-Bedroom Apartment
Entire apartment • 1 bedroom • 1 living room • 1 bathroom • 1 kitchen • 35m²
2 beds (1 full, 1 sofa bed)
Free cancellation"
