hotel_name,price_euros,rating,num_reviews,quality_over_5,quality_type,neighborhood,description
The Oliver Apartamentos Aravaca,1242.0,8.8,909.0,3.0,squares,"Moncloa-Aravaca, Madrid","Superior Studio
Entire studio • 1 bathroom • 1 kitchen • 30m²
2 beds (1 sofa bed, 1 queen)"
LUXURY DESIGN Quevedo-Neptuno,1098.0,,,,,"Madrid City Center, Madrid","One-Bedroom Premier Apartment
Entire apartment • 1 bedroom • 1 bathroom • 1 kitchen • 52m²
1 queen bed
Free cancellation
Only 1 left at this price on our site"
Titanic Dreams,449.0,7.1,202.0,3.0,squares,"Ciudad Lineal, Madrid","Studio
Entire studio • 1 bathroom • 14m²
1 full bed
Free cancellation
Only 1 left at this price on our site"
Apto en el corazón de Malasaña,787.0,8.8,30.0,3.0,squares,"Madrid City Center, Madrid","Studio
Entire studio • 1 bathroom • 1 kitchen • 22m²
1 twin bed
Free cancellation"
Vértice Roomspace,496.0,8.1,12748.0,3.0,stars,"Villaverde, Madrid","Double or Twin Room
Beds: 1 double or 2 twins
Free cancellation"
MintyStay - Paseo de las Delicias,1073.0,8.7,37.0,,,"Arganzuela, Madrid","Two-Bedroom Apartment
Entire apartment • 1 bathroom • 1 kitchen • 65m²
Free cancellation"
Menoir Dorsett Madrid Usera,482.0,7.4,492.0,3.0,stars,"Usera, Madrid","Twin Room with Private Bathroom
2 twin beds"
Aparto-Hotel Rosales,1045.0,8.9,4212.0,3.0,stars,"Moncloa-Aravaca, Madrid","Double or Twin Room
Beds: 1 double or 2 twins
Free cancellation
Only 1 room left at this price on our site"
Hostal Sol Los Angeles,779.0,7.9,1459.0,3.0,squares,"Madrid City Center, Madrid","Double or Twin Room
Beds: 1 double or 2 twins
Free cancellation
Only 1 room left at this price on our site"
T-Homes - Cuenca,720.0,9.1,1072.0,3.0,squares,"Tetuan, Madrid","One-Bedroom Apartment
Entire apartment • 1 bedroom • 1 bathroom • 1 kitchen • 25m²
1 full bed
Free cancellation
Only 1 left at this price on our site"
Elba Madrid Alcalá,1032.0,8.9,8241.0,4.0,stars,"San Blas, Madrid","Superior Double Room
Beds: 1 double or 2 twins
Free cancellation
No prepayment needed – pay at the property"
Room Canalejas,1139.0,8.4,518.0,3.0,squares,"Madrid City Center, Madrid","One-Bedroom Apartment
Entire apartment • 1 bedroom • 1 living room • 1 bathroom • 1 kitchen • 50m²
2 beds (1 sofa bed, 1 queen)
Only 1 left at this price on our site"
Bohemian 2bedroom attic in Lavapies,865.0,7.8,25.0,3.0,squares,"Madrid City Center, Madrid","Two-Bedroom Apartment
2 full beds"
Apartamentos Juan Bravo,936.0,8.4,7328.0,3.0,squares,"Salamanca, Madrid","Standard Studio
Entire studio • 1 bathroom • 1 kitchen • 20m²
2 twin beds
Free cancellation
Only 4 left at this price on our site"
4C Bravo Murillo,800.0,8.2,5764.0,2.0,stars,"Tetuan, Madrid","Double Room
1 full bed
Free cancellation"
Room Plaza España,871.0,8.6,1818.0,3.0,squares,"Madrid City Center, Madrid","Double Room
1 full bed"
Plaza Mayor Suites & Apartments,1308.0,8.9,3763.0,3.0,squares,"Madrid City Center, Madrid","Apartment
Entire apartment • 1 bedroom • 1 bathroom • 1 kitchen • 25m²
1 full bed
Free cancellation
Only 2 left at this price on our site"
ARTIEM Madrid,993.0,9.4,1974.0,4.0,stars,"Ciudad Lineal, Madrid","Standard Double or Twin Room
Beds: 1 double or 2 twins
Free cancellation
Only 1 room left at this price on our site"
Avenida De America Tijcal,893.0,8.6,2966.0,3.0,squares,"Salamanca, Madrid","Standard Studio Twin
Entire studio • 1 bathroom • 1 kitchen • 26m²
2 twin beds
Free cancellation
Only 4 left at this price on our site"
Ideal flat for 4 pax -F Fpo1,791.0,8.4,21.0,3.0,squares,"Arganzuela, Madrid","Studio Apartment
Entire apartment • 1 bedroom • 1 living room • 1 bathroom • 30m²
1 full bed
Free cancellation"
Apartamento en el centro de Madrid,841.0,8.8,50.0,3.0,squares,"Madrid City Center, Madrid","One-Bedroom Apartment
2 beds (1 full, 1 sofa bed)
Free cancellation"
Agumar,1017.0,8.1,13516.0,4.0,stars,"Retiro, Madrid","Double or Twin Room
Beds: 1 double or 2 twins
Only 1 room left at this price on our site"
Habitaciónes doble con baño privado en el centro de Madrid,398.0,6.8,279.0,3.0,squares,"Carabanchel, Madrid","Double Room
1 full bed
Free cancellation
Only 1 room left at this price on our site"
JUAN BRAVO FRANCISCO SILVELA,1017.0,8.5,49.0,3.0,squares,"Salamanca, Madrid","Three-Bedroom Apartment
Entire apartment • 3 bedrooms • 1 living room • 1 bathroom • 1 kitchen • 86m²
4 beds (2 twins, 1 full, 1 sofa bed)
Free cancellation"
AC Hotel Avenida de América by Marriott,1287.0,8.8,2988.0,3.0,stars,"Salamanca, Madrid","Queen Room
1 queen bed
Free cancellation
No prepayment needed – pay at the property"
Hostal New Dream Madrid,594.0,7.9,2558.0,,,"Madrid City Center, Madrid","Small Double Room with Shared Bathroom
1 full bed
Only 1 room left at this price on our site"
