hotel_name,price_euros,rating,num_reviews,quality_over_5,quality_type,neighborhood,description
Be Mate Paseo de Gracia,1816.0,8.9,1206.0,4.0,squares,"Gràcia, Barcelona","Queen Room
1 queen bed
Only 1 room left at this price on our site"
Four Points by Sheraton Barcelona Airport,872.0,8.7,552.0,,,Barcelona,"King Room
1 king bed
Only 5 rooms left at this price on our site"
Hotel Viladomat,1147.0,7.6,3973.0,3.0,stars,"Eixample, Barcelona","Basic Double or Twin Room
Beds: 1 double or 2 twins
Free cancellation
No prepayment needed – pay at the property
Only 5 rooms left at this price on our site"
HCC Taber,1355.0,8.7,2037.0,3.0,stars,"Eixample, Barcelona","Twin Room
2 twin beds
Free cancellation
No prepayment needed – pay at the property
Only 5 rooms left at this price on our site"
Occidental Barcelona 1929,1409.0,8.8,5005.0,3.0,stars,"Sants-Montjuïc, Barcelona","Superior Double Room
Beds: 1 double or 2 twins
Only 5 rooms left at this price on our site"
Hostal Ramos,851.0,7.7,3825.0,3.0,squares,"Ciutat Vella, Barcelona","Indoor Double Room
1 full bed
Only 1 room left at this price on our site"
Catalonia Albeniz,1307.0,8.4,2802.0,3.0,stars,"Sant Martí, Barcelona","Double or Twin Room
Beds: 1 double or 2 twins
Free cancellation
No prepayment needed – pay at the property"
Travelodge Barcelona Poblenou,950.0,7.3,9974.0,1.0,stars,"Sant Martí, Barcelona","Double Room
1 full bed"
Barcelona Fifteen central Aparthotel,1127.0,7.5,244.0,3.0,squares,"Sants-Montjuïc, Barcelona","Deluxe Double Room
1 full bed
Only 2 rooms left at this price on our site"
Casa Bella Gracia by Aspasios,1227.0,8.4,260.0,,,"Gràcia, Barcelona","Economy Double Room
1 queen bed
Only 1 room left at this price on our site"
NH Barcelona Diagonal Center,1220.0,8.2,2290.0,3.0,stars,"Sant Martí, Barcelona","Standard Double or Twin Room
Beds: 1 double or 2 twins"
Residència Erasmus Gracia,975.0,8.2,5128.0,,,"Gràcia, Barcelona","Twin Room
2 twin beds"
