hotel_name,price_euros,rating,num_reviews,quality_over_5,quality_type,neighborhood,description
Unite Hostel Barcelona,2273.0,8.0,8415.0,,,"Sant Martí, Barcelona","Family Room with Private Bathroom
8 bunk beds
Free cancellation"
Hotel & Spa Villa Olimpica Suites,2166.0,8.0,3831.0,4.0,stars,"Sant Martí, Barcelona","Double Room with Spa Access
2 twin beds
Free cancellation"
Golden Hotel Barcelona,2115.0,8.3,2474.0,4.0,stars,"Sant Martí, Barcelona","Double Room
Beds: 1 double or 2 twins
Free cancellation"
Sallés Hotel Pere IV,2573.0,8.1,8451.0,4.0,stars,"Sant Martí, Barcelona","Deluxe Double Room with Spa Access
Multiple bed types
Free cancellation"
Vincci Bit,2994.0,8.5,6192.0,4.0,stars,"Sant Martí, Barcelona","Double or Twin Room
Beds: 1 double or 2 twins
Free cancellation"
BARCELONA GOTIC Guesthouse,839.0,7.7,2155.0,1.0,stars,"Ciutat Vella, Barcelona","Basic Double Room with Shared Bathroom
1 full bed
Only 3 rooms left at this price on our site"
Hotel Sant Agustí,2832.0,8.0,4546.0,3.0,stars,"Ciutat Vella, Barcelona","Triple Penthouse Room
3 beds (2 twins, 1 sofa bed)
Free cancellation
Only 1 room left at this price on our site"
Axel Hotel Barcelona - Adults Only,2323.0,8.1,2879.0,4.0,stars,"Eixample, Barcelona","Double Room
Beds: 1 double or 2 twins
Free cancellation
Only 4 rooms left at this price on our site"
Hostal Central Barcelona,2339.0,8.4,2181.0,2.0,stars,"Eixample, Barcelona","Double or Twin Room with Extra Bed
2 beds (1 twin, 1 queen)
Free cancellation
Only 2 rooms left at this price on our site"
Chic & Basic Born Boutique Hotel,2438.0,8.2,1569.0,3.0,stars,"Ciutat Vella, Barcelona","Small Double Room
1 full bed
Free cancellation
Only 1 room left at this price on our site"
Vincci Maritimo,3210.0,8.4,4860.0,4.0,stars,"Sant Martí, Barcelona","Double or Twin Room
Beds: 1 double or 2 twins
Free cancellation"
Good-Home Paseo de Gracia,2470.0,8.1,497.0,3.0,squares,"Eixample, Barcelona","Quadruple Room with Private Bathroom
3 beds (2 twins, 1 full)
Breakfast included
Free cancellation
Only 1 room left at this price on our site"
Vincci Mae,3812.0,8.4,2570.0,4.0,stars,"Sarrià-St. Gervasi, Barcelona","Standard Double Room
Beds: 1 double or 2 twins
Free cancellation"
Catalonia Barcelona 505,1778.0,8.5,3261.0,4.0,stars,"Sarrià-St. Gervasi, Barcelona","Double or Twin Room
Beds: 1 double or 2 twins
Only 5 rooms left at this price on our site"
Ola Living Gracia,2473.0,7.3,15.0,4.0,squares,"Gràcia, Barcelona","Two-Bedroom Apartment
Entire apartment • 2 bedrooms • 1 bathroom • 1 kitchen • 55m²
2 beds (1 twin, 1 queen)
Free cancellation
Only 1 left at this price on our site"
Serennia Cest Apartamentos Arc de Triomf,2866.0,8.6,483.0,4.0,squares,"Eixample, Barcelona","Two-Bedroom Apartment
Entire apartment • 2 bedrooms • 1 living room • 1 bathroom • 1 kitchen • 60m²
5 beds (4 twins, 1 sofa bed)
Free cancellation
Only 1 left at this price on our site"
Monturiol Apartaments,2214.0,9.1,129.0,3.0,squares,"Sant Martí, Barcelona","One-Bedroom Apartment
Entire apartment • 1 bedroom • 1 bathroom • 1 kitchen • 23m²
1 full bed
Free cancellation
Only 4 left at this price on our site"
Vincci Gala,4151.0,8.6,3464.0,4.0,stars,"Eixample, Barcelona","Double or Twin Room
Beds: 1 double or 2 twins
Free cancellation"
Miiro Borneta,5041.0,9.1,348.0,4.0,stars,"Ciutat Vella, Barcelona","The Superior
1 king bed
Free cancellation"
Casa Lolita,2343.0,8.6,496.0,,,"Eixample, Barcelona","Standard Double Room
1 full bed
Free cancellation
Only 1 room left at this price on our site"
ApartEasy - Central Gracia Apartments,2528.0,6.9,231.0,3.0,squares,"Gràcia, Barcelona","Superior Apartment
Entire apartment • 2 bedrooms • 1 living room • 1 bathroom • 1 kitchen • 70m²
3 beds (1 twin, 1 full, 1 sofa bed)
Free cancellation
Only 1 left at this price on our site"
Suites Center Barcelona,3802.0,9.1,572.0,4.0,squares,"Gràcia, Barcelona","One-Bedroom Apartment
Entire apartment • 1 bedroom • 1 bathroom • 1 kitchen • 43m²
2 beds (1 full, 1 sofa bed)
Free cancellation
Only 1 left at this price on our site"
Catalonia Sagrada Familia,1682.0,8.4,9406.0,3.0,stars,"Sant Martí, Barcelona","Double or Twin Room
Beds: 1 double or 2 twins"
The White Flats Les Corts,4729.0,8.6,1551.0,4.0,squares,"Les Corts, Barcelona","Interior Apartment G26
Entire apartment • 3 bedrooms • 1 bathroom • 1 kitchen • 60m²
3 beds (2 twins, 1 full)
Free cancellation
Only 1 left at this price on our site"
Acta Voraport,2867.0,8.8,13934.0,3.0,stars,"Sant Martí, Barcelona","Superior Double Room
Beds: 1 double or 2 twins
Breakfast included
Only 2 rooms left at this price on our site"
Isabella's House,3822.0,8.5,1386.0,4.0,squares,"Sarrià-St. Gervasi, Barcelona","Deluxe Apartment
Entire apartment • 2 bedrooms • 1 living room • 1 bathroom • 1 kitchen • 80m²
2 full beds
Free cancellation
Only 1 left at this price on our site"
Charming Boat in Barcelona - Perfect getaway,2405.0,8.3,20.0,,,Barcelona,"Caravan
Mobile home • 4 bedrooms • 2 living rooms • 2 bathrooms
5 beds (2 twins, 3 fulls)
Free cancellation
Only 1 left at this price on our site"
Hotel Viladomat,2347.0,7.6,3973.0,3.0,stars,"Eixample, Barcelona","Special Offer - Standard Double or Twin Room
Beds: 1 double or 2 twins
Only 5 rooms left at this price on our site"
Rent Top Apartments Rambla Catalunya,4100.0,8.3,731.0,4.0,squares,"Eixample, Barcelona","One Bedroom Penthouse with Terrace- Rambla Catalunya
Entire apartment • 1 bedroom • 1 living room • 1 bathroom • 1 kitchen • 80m²
2 beds (1 sofa bed, 1 queen)
Free cancellation
Only 2 left at this price on our site"
Sweett - Avenida Roma,2812.0,8.1,300.0,4.0,squares,"Eixample, Barcelona","One-Bedroom Apartment
Entire apartment • 1 bedroom • 1 living room • 1 bathroom • 1 kitchen • 55m²
2 beds (1 full, 1 sofa bed)
Free cancellation
Only 1 left at this price on our site"
Hotel Boutique Mirlo Barcelona,6015.0,9.3,1070.0,5.0,stars,"Sarrià-St. Gervasi, Barcelona","Suite Mirlo with Hammam, Hydromassage Bathtub and Sauna
Private suite • 1 bedroom • 1 living room • 1 bathroom • 50m²
2 beds (1 king, 1 sofa bed)
Free cancellation
Only 1 left at this price on our site"
