hotel_name,price_euros,rating,num_reviews,quality_over_5,quality_type,neighborhood,description
Be Mate Paseo de Gracia,1105.0,8.9,1206.0,4.0,squares,"Gràcia, Barcelona","Queen Room with Balcony
1 queen bed
Only 1 room left at this price on our site"
Moxy Barcelona,784.0,8.1,1228.0,4.0,stars,"Sants-Montjuïc, Barcelona","Moxy Queen Room with Balcony
1 queen bed"
Motel One Barcelona-Ciutadella,900.0,8.8,11216.0,3.0,stars,"Sant Martí, Barcelona","Double Room
1 full bed
Free cancellation
No prepayment needed – pay at the property"
Sercotel Caspe,780.0,8.4,7100.0,4.0,stars,"Eixample, Barcelona","Classic Twin Room
2 twin beds"
NH Sants Barcelona,755.0,8.6,2852.0,4.0,stars,"Les Corts, Barcelona","Standard Double or Twin Room
Beds: 1 double or 2 twins"
BARCELONA GOTIC Guesthouse,419.0,7.7,2155.0,1.0,stars,"Ciutat Vella, Barcelona","Basic Double Room with Shared Bathroom
1 full bed
Only 1 room left at this price on our site"
Evenia Rocafort,682.0,8.3,1163.0,3.0,stars,"Eixample, Barcelona","Double or Twin Room
2 twin beds
Only 1 room left at this price on our site"
Hotel Oasis,751.0,8.5,5138.0,2.0,stars,"Ciutat Vella, Barcelona","Standard Room Interior
2 twin beds
Only 2 rooms left at this price on our site"
Residència Erasmus Gracia,672.0,8.2,5128.0,,,"Gràcia, Barcelona","Twin Room
2 twin beds"
Paral·lel,752.0,8.3,3845.0,2.0,stars,"Sants-Montjuïc, Barcelona","Superior Double or Twin Room
Beds: 1 double or 2 twins"
Hotel Villa Emilia,925.0,8.9,1558.0,4.0,stars,"Eixample, Barcelona","Double or Twin Room (1-2 Adults)
Beds: 1 double or 2 twins"
Catalonia Barcelona 505,878.0,8.5,3261.0,4.0,stars,"Sarrià-St. Gervasi, Barcelona","Double or Twin Room
Beds: 1 double or 2 twins
Free cancellation
No prepayment needed – pay at the property
Only 1 room left at this price on our site"
Travelodge Barcelona Poblenou,663.0,7.3,9977.0,1.0,stars,"Sant Martí, Barcelona","Double Room
1 full bed
Free cancellation
No prepayment needed – pay at the property"
limehome Barcelona Rector Triadó,887.0,8.9,634.0,4.0,squares,"Sants-Montjuïc, Barcelona","One-Bedroom Apartment
Entire apartment • 1 bedroom • 1 living room • 1 bathroom • 1 kitchen • 40m²
1 queen bed
Only 4 left at this price on our site"
Hostal BESTPRICE Barcelona Stadium,448.0,8.4,2048.0,1.0,stars,"Les Corts, Barcelona","Double or Twin Room
2 twin beds
Only 2 rooms left at this price on our site"
Hotel Balmoral,869.0,8.5,1668.0,4.0,stars,"Sarrià-St. Gervasi, Barcelona","Double or Twin Room
Beds: 1 double or 2 twins
Only 7 rooms left at this price on our site"
Occidental Barcelona 1929,932.0,8.8,5005.0,3.0,stars,"Sants-Montjuïc, Barcelona","Superior Double Room
Beds: 1 double or 2 twins
Only 5 rooms left at this price on our site"
Ciutat Vella,881.0,8.0,4602.0,3.0,stars,"Ciutat Vella, Barcelona","Twin Room with Terrace
2 twin beds
Free cancellation
No prepayment needed – pay at the property
Only 1 room left at this price on our site"
Sallés Hotel Pere IV,985.0,8.1,8451.0,4.0,stars,"Sant Martí, Barcelona","Deluxe Double Room with Spa Access
Multiple bed types
Free cancellation"
La Ciudadela,1015.0,8.6,2061.0,1.0,stars,"Ciutat Vella, Barcelona","Double Room (interior)
1 full bed
Free cancellation
Only 1 room left at this price on our site"
Ola Living Consell De Cent,998.0,8.7,40.0,4.0,squares,"Eixample, Barcelona","Apartment with Terrace
Entire apartment • 1 bedroom • 1 bathroom • 1 kitchen • 50m²
1 full bed
Only 1 left at this price on our site"
Evenia Rossello,740.0,8.3,724.0,4.0,stars,"Eixample, Barcelona","Double or Twin Room
Beds: 1 double or 2 twins
Free cancellation"
Catalonia Gracia,938.0,8.5,2814.0,4.0,stars,"Eixample, Barcelona","Double or Twin Room
Beds: 1 double or 2 twins
Free cancellation
No prepayment needed – pay at the property"
Hotel Viladomat,796.0,7.6,3973.0,3.0,stars,"Eixample, Barcelona","Basic Double or Twin Room
Beds: 1 double or 2 twins
Free cancellation"
Pol & Grace Hotel,729.0,8.2,2548.0,4.0,stars,"Sarrià-St. Gervasi, Barcelona","Double or Twin Room
Beds: 1 double or 2 twins"
Hostal La Terrassa,528.0,8.3,4143.0,1.0,stars,"Ciutat Vella, Barcelona","Interior Double Room without Views
1 full bed
Only 1 room left at this price on our site"
Golden Hotel Barcelona,908.0,8.3,2474.0,4.0,stars,"Sant Martí, Barcelona","Double Room
Beds: 1 double or 2 twins
Free cancellation"
The Moods Oasis,885.0,8.6,2047.0,3.0,stars,"Sarrià-St. Gervasi, Barcelona","Standard Double or Twin Room
1 queen bed
Only 3 rooms left at this price on our site"
