hotel_name,price_euros,rating,num_reviews,quality_over_5,quality_type,neighborhood,description
Barceló Torre de Madrid,1807.0,8.9,2822.0,5.0,stars,"Moncloa-Aravaca, Madrid","Deluxe Room
Multiple bed types
Only 5 rooms left at this price on our site"
Vértice Roomspace,500.0,8.1,12748.0,3.0,stars,"Villaverde, Madrid","Double or Twin Room
Beds: 1 double or 2 twins
Free cancellation
Only 3 rooms left at this price on our site"
Room Plaza España,871.0,8.6,1818.0,3.0,squares,"Madrid City Center, Madrid","Double Room
1 full bed"
T-Homes - Cuenca,720.0,9.1,1072.0,3.0,squares,"Tetuan, Madrid","One-Bedroom Apartment
Entire apartment • 1 bedroom • 1 bathroom • 1 kitchen • 25m²
1 full bed
Free cancellation
Only 1 left at this price on our site"
Aparto-Hotel Rosales,1045.0,8.9,4212.0,3.0,stars,"Moncloa-Aravaca, Madrid","Double or Twin Room
Beds: 1 double or 2 twins
Free cancellation
Only 1 room left at this price on our site"
AC Hotel Avenida de América by Marriott,1238.0,8.8,2988.0,3.0,stars,"Salamanca, Madrid","Queen Room
1 queen bed
Free cancellation
No prepayment needed – pay at the property"
Elba Madrid Alcalá,1102.0,8.9,8241.0,4.0,stars,"San Blas, Madrid","Standard Double Room
Beds: 1 double or 2 twins
Free cancellation
No prepayment needed – pay at the property
Only 3 rooms left at this price on our site"
4C Bravo Murillo,800.0,8.2,5764.0,2.0,stars,"Tetuan, Madrid","Double Room
1 full bed
Free cancellation
Only 3 rooms left at this price on our site"
MintyStay - Conde de Miranda,971.0,8.1,26.0,3.0,squares,"Madrid City Center, Madrid","One-Bedroom Apartment
Entire apartment • 1 bedroom • 1 living room • 2 bathrooms • 1 kitchen • 65m²
2 beds (1 twin, 1 full)
Free cancellation"
Avenida De America Tijcal,913.0,8.6,2966.0,3.0,squares,"Salamanca, Madrid","Standard Studio Twin
Entire studio • 1 bathroom • 1 kitchen • 26m²
2 twin beds
Free cancellation
Only 2 left at this price on our site"
Apartamentos Juan Bravo,1007.0,8.4,7328.0,3.0,squares,"Salamanca, Madrid","Superior Studio
Entire studio • 1 bathroom • 1 kitchen • 25m²
1 full bed
Free cancellation
Only 7 left at this price on our site"
Apartamentos Cuatro Caminos,838.0,8.5,64.0,3.0,squares,"Tetuan, Madrid","One-Bedroom Apartment
Entire apartment • 1 bedroom • 1 living room • 1 bathroom • 1 kitchen • 40m²
3 beds (2 twins, 1 sofa bed)
Free cancellation
Only 2 left at this price on our site"
Apartamentos EconoStay Plaza de España,715.0,7.3,77.0,3.0,squares,"Madrid City Center, Madrid","Standard Studio
Entire studio • 1 bathroom
2 beds (1 full, 1 sofa bed)
Only 2 left at this price on our site"
Apartamentos Adelfas,789.0,7.5,257.0,3.0,squares,"Retiro, Madrid","Apartment - Ground Floor
Entire apartment • 1 bedroom • 1 living room • 1 bathroom • 1 kitchen • 45m²
2 beds (1 full, 1 sofa bed)
Free cancellation
Only 1 left at this price on our site"
