hotel_name,price_euros,rating,num_reviews,quality_over_5,quality_type,neighborhood,description
The Oliver Apartamentos Aravaca,983.0,8.8,909.0,3.0,squares,"Moncloa-Aravaca, Madrid","Superior Studio
Entire studio • 1 bathroom • 1 kitchen • 30m²
2 beds (1 sofa bed, 1 queen)"
LUXURY DESIGN Quevedo-Neptuno,1069.0,,,,,"Madrid City Center, Madrid","One-Bedroom Premier Apartment
Entire apartment • 1 bedroom • 1 bathroom • 1 kitchen • 52m²
1 queen bed
Free cancellation
Only 1 left at this price on our site"
Live it Madrid Gran Vía,412.0,6.9,698.0,,,"Madrid City Center, Madrid","Standard Double Room with Shared Bathroom
1 full bed"
Ibis Budget Madrid Centro Las Ventas,652.0,7.9,4780.0,1.0,stars,"Ciudad Lineal, Madrid","Standard Double Room
2 beds (1 full, 1 bunk bed)"
Apartamentos Juan Bravo,825.0,8.4,7328.0,3.0,squares,"Salamanca, Madrid","Standard Studio
Entire studio • 1 bathroom • 1 kitchen • 20m²
2 twin beds
Free cancellation
Only 7 left at this price on our site"
Apartamentos EconoStay Barbieri 1,414.0,6.1,88.0,3.0,squares,"Madrid City Center, Madrid","Standard Studio
Entire studio • 1 bathroom • 18m²
1 full bed
Only 1 left at this price on our site"
MyHouseSpain-Tranquilo apartamento con balcón,1024.0,9.1,12.0,,,"Moncloa-Aravaca, Madrid","One-Bedroom Apartment
1 full bed
Free cancellation"
TravelStep General Ricardos,468.0,7.6,161.0,3.0,squares,"Carabanchel, Madrid","Studio with Balcony
Entire studio • 1 bathroom • 18m²
Only 6 left at this price on our site"
New Best location in central Madrid Loft,1050.0,8.5,15.0,3.0,squares,"Madrid City Center, Madrid","Loft
Entire apartment • 2 bedrooms • 1 bathroom • 1 kitchen • 70m²
2 full beds"
Ideal studio in Cuatro Caminos - Guipúzcoa,642.0,8.7,16.0,,,"Tetuan, Madrid","One-Bedroom Apartment
1 full bed
Free cancellation
Only 1 left at this price on our site"
Dobo Homes - PA4,637.0,7.9,121.0,3.0,squares,"Chamartín, Madrid","One-Bedroom Apartment
Entire apartment • 1 bedroom • 1 living room • 1 bathroom
1 full bed
Free cancellation
Only 2 left at this price on our site"
Olavide en Madrid,1039.0,8.3,436.0,4.0,squares,"Chamberi, Madrid","One-Bedroom Apartment IV
Entire apartment • 1 bedroom • 1 living room • 1 bathroom • 1 kitchen • 50m²
2 beds (1 full, 1 sofa bed)
Only 2 left at this price on our site"
Brigth Stylish studio - Gran Vía,1049.0,8.4,27.0,4.0,squares,"Madrid City Center, Madrid","Studio Apartment
Entire apartment • 1 bedroom • 1 living room • 1 bathroom • 35m²
2 beds (1 full, 1 sofa bed)
Free cancellation"
Modern apartment-1Bedroom 1Bath-Prosperidad,827.0,9.5,4.0,3.0,squares,"Chamartín, Madrid","One-Bedroom Apartment
Entire apartment • 1 bedroom • 1 living room • 1 bathroom • 1 kitchen • 40m²
1 full bed
Free cancellation"
Minty Stay - Hortaleza,716.0,7.4,41.0,3.0,squares,"Madrid City Center, Madrid","Studio Apartment
Entire apartment • 1 bedroom • 1 living room • 1 bathroom • 1 kitchen • 35m²
2 beds (1 full, 1 sofa bed)
Free cancellation"
Aparto-Hotel Rosales,1031.0,8.9,4212.0,3.0,stars,"Moncloa-Aravaca, Madrid","Double or Twin Room
Beds: 1 double or 2 twins
Free cancellation
Only 1 room left at this price on our site"
Feelathome Ventas Suites,930.0,8.9,1158.0,3.0,squares,"Salamanca, Madrid","Standard Studio
Entire studio • 1 bathroom • 1 kitchen • 20m²
1 queen bed"
Cozy apartment-1Bedroom 1Bath-Chamberí,782.0,7.0,6.0,3.0,squares,"Chamberi, Madrid","One-Bedroom Apartment
Entire apartment • 1 bedroom • 1 living room • 1 bathroom • 1 kitchen • 40m²
2 beds (1 full, 1 sofa bed)
Free cancellation"
Apartamentos SmartRenting Justicia,424.0,6.6,75.0,3.0,squares,"Madrid City Center, Madrid","Standard Studio
Entire studio • 1 bathroom • 1 kitchen • 13m²
1 full bed
Only 1 left at this price on our site"
Montaber Apartments - La Paz Market,939.0,7.7,320.0,3.0,squares,"Salamanca, Madrid","Two-Bedroom Apartment
Entire apartment • 2 bedrooms • 1 living room • 1 bathroom • 1 kitchen • 50m²
2 beds (1 twin, 1 full)
Only 5 left at this price on our site"
Dobo Homes - HOR7,727.0,8.7,255.0,3.0,squares,"Chamartín, Madrid","One-Bedroom Apartment
Entire apartment • 1 bedroom • 1 living room • 1 bathroom • 1 kitchen • 21m²
2 twin beds
Free cancellation
Only 1 left at this price on our site"
Style Madrid Center Santiago Bernabeu,936.0,8.9,139.0,3.0,squares,"Tetuan, Madrid","Apartment
Entire apartment • 1 bedroom • 1 living room • 1 bathroom • 50m²
2 beds (1 sofa bed, 1 queen)
Free cancellation
Only 2 left at this price on our site"
Chamberí con jardín B by RegalateMadrid com,1001.0,8.6,53.0,3.0,squares,"Chamberi, Madrid","One-Bedroom Apartment
Entire apartment • 1 bedroom • 1 living room • 1 bathroom • 1 kitchen • 40m²
2 beds (1 full, 1 sofa bed)
Free cancellation"
4C Bravo Murillo,800.0,8.2,5764.0,2.0,stars,"Tetuan, Madrid","Double Room
1 full bed
Free cancellation
Only 7 rooms left at this price on our site"
Vértice Roomspace,722.0,8.1,12748.0,3.0,stars,"Villaverde, Madrid","Triple Room (2 Adults + 1 Child)
3 twin beds
Free cancellation
Only 1 room left at this price on our site"
Gran Versalles,1041.0,8.6,7120.0,4.0,stars,"Chamberi, Madrid","Double or Twin Room
Beds: 1 double or 2 twins
Free cancellation"
1 bedroom 1 bathroom furnished - Chamberí - cozy modern- MintyStay,721.0,7.0,12.0,3.0,squares,"Tetuan, Madrid","One-Bedroom Apartment
Entire apartment • 1 bedroom • 1 bathroom • 45m²
1 full bed
Free cancellation"
