,hotel_name,price_euros,rating,num_reviews,quality_over_5,quality_type,neighborhood,description
19346,Mante House - Malasaña Design,1962.0,9.0,777.0,4.0,squares,"Madrid City Center, Madrid","One-Bedroom Apartment
Entire apartment • 1 bedroom • 1 living room • 2 bathrooms • 1 kitchen • 35m²
2 beds (1 full, 1 sofa bed)
Only 1 left at this price on our site"
19347,Be Casa - Valdebebas,965.0,8.8,1380.0,3.0,squares,"Hortaleza, Madrid","Studio
Entire studio • 1 bathroom • 1 kitchen • 20m²
1 full bed
Free cancellation"
19348,For You Rentals NEW Design Apartment TEMPORAL Puerta del Sol PRE10C,1972.0,8.4,240.0,3.0,squares,"Madrid City Center, Madrid","Superior Apartment
Entire apartment • 2 bedrooms • 1 living room • 2 bathrooms • 100m²
3 beds (2 fulls, 1 sofa bed)
Only 2 left at this price on our site"
19349,Feelathome San Marcos Apartments,2051.0,8.9,718.0,4.0,squares,"Madrid City Center, Madrid","One-Bedroom Apartment Interior
Entire apartment • 1 bedroom • 1 bathroom • 1 kitchen • 40m²
1 queen bed
Only 3 left at this price on our site"
19350,Alhambra Suites,1130.0,8.1,3173.0,3.0,stars,"Madrid City Center, Madrid","Standard Double Room
1 full bed
Breakfast included
Only 2 rooms left at this price on our site"
19351,1 bedroom 1 bathroom furnished - Av de America - studio - MintyStay,1056.0,8.3,17.0,,,"Chamartín, Madrid","Studio Apartment
Entire apartment • 1 bathroom • 40m²
Free cancellation"
19352,Hostal Rober,1072.0,8.2,1485.0,2.0,stars,"Madrid City Center, Madrid","Double or Twin Room
Beds: 1 double or 2 twins
Only 7 rooms left at this price on our site"
19353,Feelathome Castilla Apartments,1610.0,9.2,427.0,4.0,squares,"Tetuan, Madrid","Apartment - Ground Floor
Entire apartment • 1 bedroom • 1 living room • 1 bathroom • 1 kitchen • 55m²
2 beds (1 sofa bed, 1 queen)
Only 1 left at this price on our site"
19354,Eco Alcalá Suites,1825.0,8.3,708.0,4.0,stars,"San Blas, Madrid","Suite Duplex
Multiple bed types
Only 3 rooms left at this price on our site"
19355,Apartamentos Libertad 24,2127.0,9.4,319.0,4.0,squares,"Madrid City Center, Madrid","One-Bedroom Deluxe Apartment with Terrace
Entire apartment • 1 bedroom • 1 living room • 1 bathroom • 1 kitchen • 90m²
2 beds (1 full, 1 sofa bed)
Only 1 left at this price on our site"
19356,Reina Sofia Suite I,1385.0,8.3,12.0,4.0,squares,"Madrid City Center, Madrid","Superior Apartment
Entire apartment • 2 bedrooms • 1 bathroom • 1 kitchen • 70m²
2 full beds"
19357,Beautiful flat in Lavapiés-Embajadores,1179.0,8.4,8.0,3.0,squares,"Madrid City Center, Madrid","One-Bedroom Apartment
2 beds (1 full, 1 sofa bed)
Free cancellation"
19358,AZCA-Bernabéu Apartments,1106.0,9.1,51.0,3.0,squares,"Tetuan, Madrid","Suite
Private suite • 1 bedroom • 1 living room • 1 bathroom • 37m²
2 beds (1 full, 1 sofa bed)
Only 1 left at this price on our site"
19359,"Urban Elegance, New, Stylish, Convenient, and WOW",1064.0,10.0,33.0,3.0,squares,"Chamartín, Madrid","One-Bedroom Apartment
1 full bed
Free cancellation"
19360,"TÓTEM Madrid, a Small Luxury Hotel of the World",2884.0,9.0,785.0,4.0,stars,"Salamanca, Madrid","Petite Double Room
1 queen bed
Only 3 rooms left at this price on our site"
19361,NH Collection Madrid Paseo del Prado,2366.0,8.5,2283.0,5.0,stars,"Madrid City Center, Madrid","Superior Room with Courtyard View
Beds: 1 double or 2 twins"
19362,MAD SUITE Aeropuerto IFEMA,1071.0,9.6,81.0,4.0,squares,"San Blas, Madrid","One-Bedroom Apartment
Entire apartment • 1 bedroom • 1 living room • 1 bathroom • 1 kitchen • 55m²
1 queen bed
Free cancellation"
19363,NH Collection Madrid Colón,2050.0,8.7,1175.0,4.0,stars,"Salamanca, Madrid","Superior Double or Twin Room
Beds: 1 double or 2 twins"
19364,Hostal Carracedo,1047.0,8.7,1001.0,1.0,stars,"Madrid City Center, Madrid","Twin Room
2 twin beds
Only 1 room left at this price on our site"
19365,Acogedor Ático en el Centro,1505.0,8.4,5.0,3.0,squares,"Madrid City Center, Madrid","Two-Bedroom Apartment
3 beds (2 twins, 1 full)
Free cancellation"
19366,min hostel capsules,292.0,6.7,749.0,,,"Ciudad Lineal, Madrid","Double Room
1 full bed
Free cancellation
Only 7 rooms left at this price on our site"
19367,Ibis Budget Madrid Vallecas,585.0,7.7,3448.0,1.0,stars,"Villa de Vallecas, Madrid","Standard Twin Room
2 twin beds"
19368,Cozy apartmento in Lavapies-Sal34,1054.0,7.3,21.0,,,"Madrid City Center, Madrid","Studio
Entire studio • 1 bathroom
2 beds (1 full, 1 sofa bed)
Free cancellation"
19369,Hostel Sacromonte,533.0,6.7,254.0,3.0,squares,"Usera, Madrid","Apartment
Entire apartment • 1 bedroom • 1 bathroom • 1 kitchen • 27m²
1 full bed
Free cancellation
Only 1 left at this price on our site"
19370,3Bedrooms 2Bathrooms furnished - Lavapies - bright,2459.0,8.7,13.0,4.0,squares,"Madrid City Center, Madrid","Apartment
Entire apartment • 3 bedrooms • 2 bathrooms • 105m²
5 beds (4 twins, 1 full)
Free cancellation"
19371,Apartamentos Madrid Rio,1365.0,7.8,65.0,3.0,squares,"Moncloa-Aravaca, Madrid","One-Bedroom Apartment
Entire apartment • 1 bedroom • 1 living room • 1 bathroom • 1 kitchen • 35m²
2 beds (1 full, 1 sofa bed)
Free cancellation
Only 1 left at this price on our site"
19372,Soho Boutique Opera,1736.0,8.3,3209.0,4.0,stars,"Madrid City Center, Madrid","Double or Twin Room
Multiple bed types
Only 5 rooms left at this price on our site"
19373,Apartamentos Noviembre,604.0,7.2,42.0,3.0,squares,"San Blas, Madrid","Deluxe One-Bedroom Apartment with City View
Entire apartment • 1 bedroom • 1 bathroom • 1 kitchen • 28m²
1 full bed
Free cancellation
Only 6 left at this price on our site"
19374,Room Mate Alicia,1847.0,8.7,2028.0,3.0,stars,"Madrid City Center, Madrid","Basic Double Room
Beds: 1 double or 2 twins"
19375,Abada Lofts - Darya Living,1790.0,8.5,43.0,3.0,squares,"Madrid City Center, Madrid","One-Bedroom Apartment
Entire apartment • 1 bedroom • 1 living room • 2 bathrooms • 1 kitchen • 55m²
2 beds (1 full, 1 sofa bed)
Free cancellation
Only 1 left at this price on our site"
19376,Nice flat in Barrio de Salamanca-PORV16,1478.0,7.9,11.0,3.0,squares,"Salamanca, Madrid","Two-Bedroom Apartment
3 beds (1 twin, 1 sofa bed, 1 queen)
Free cancellation"
19377,Canopy by Hilton Madrid Castellana,2047.0,8.7,2720.0,4.0,stars,"Tetuan, Madrid","King Room
1 king bed"
19378,Rodas 6,1249.0,9.0,45.0,,,"Madrid City Center, Madrid","One-Bedroom Apartment
2 beds (1 full, 1 queen)
Free cancellation
Only 1 left at this price on our site"
19379,Travelodge Madrid Metropolitano,933.0,8.3,5111.0,1.0,stars,"San Blas, Madrid","Double Room
1 full bed"
19380,URBANSEA Atocha 113,1153.0,8.2,3688.0,1.0,stars,"Madrid City Center, Madrid","Double Room
1 full bed
Only 4 rooms left at this price on our site"
19381,Líbere Madrid Palacio Real,1338.0,7.8,1076.0,3.0,stars,"Madrid City Center, Madrid","Studio
Entire studio • 1 bathroom • 1 kitchen • 28m²
1 full bed"
19382,Centrally located in Madrid 3I,964.0,,,,,"Madrid City Center, Madrid","One-Bedroom Apartment
1 full bed
Free cancellation"
19383,Ekilibrio Hotel & Apart-Suites,1050.0,8.2,2230.0,4.0,stars,"Usera, Madrid","Standard Double Suite
Private suite • 1 bedroom • 1 living room • 1 bathroom • 30m²
2 beds (1 full, 1 sofa bed)
Free cancellation
Only 6 left at this price on our site"
19384,Amplio en el corazón d Malasaña,1685.0,8.1,26.0,3.0,squares,"Madrid City Center, Madrid","Two-Bedroom Apartment
Entire apartment • 2 bedrooms • 2 bathrooms • 1 kitchen • 95m²
3 beds (2 twins, 1 full)
Free cancellation"
19385,Letoh Letoh Gran Vía,1582.0,8.8,8593.0,,,"Madrid City Center, Madrid","Budget Double Room
1 full bed
Only 2 rooms left at this price on our site"
19386,Exyca Malasaña,1174.0,7.1,30.0,3.0,squares,"Madrid City Center, Madrid","One-Bedroom Apartment
Entire apartment • 1 bedroom • 1 living room • 1 bathroom • 1 kitchen • 40m²
2 beds (1 full, 1 sofa bed)
Free cancellation"
19387,Encantador piso con conexion al centro by beBalmy,1313.0,8.7,6.0,3.0,squares,"Puente de Vallecas, Madrid","Three-Bedroom Apartment
Entire apartment • 3 bedrooms • 1 bathroom • 1 kitchen • 60m²
3 beds (1 twin, 2 fulls)
Free cancellation"
19388,Hispano Gran Vía,1065.0,8.3,1707.0,2.0,stars,"Madrid City Center, Madrid","Double or Twin Room
Beds: 1 double or 2 twins"
19389,Feelathome Waldorf Suites Apartments,1971.0,9.0,1057.0,4.0,squares,"Chamberi, Madrid","One-Bedroom Apartment
Entire apartment • 1 bedroom • 1 living room • 1 bathroom • 1 kitchen • 50m²
1 full bed"
19390,MyHouseSpain - Moderno piso I en Chueca,1103.0,7.1,47.0,3.0,squares,"Madrid City Center, Madrid","Apartment with Shower
Entire apartment • 1 bedroom • 1 bathroom • 30m²
1 full bed
Free cancellation"
19391,Charming penthouse in Madrid-Centro - Oso,1290.0,7.7,6.0,,,"Madrid City Center, Madrid","One-Bedroom Apartment
2 beds (1 sofa bed, 1 queen)
Free cancellation"
